Date,Cluster
2017-08-20,0
2017-09-10,0
2017-10-29,0
2017-11-26,0
2018-01-09,0
2018-02-19,0
2018-02-26,0
2018-02-27,0
2018-03-05,0
2018-03-18,0
2018-03-20,0
2018-04-03,0
2018-04-10,0
2018-04-15,0
2018-04-16,0
2018-04-17,0
2018-04-29,0
2018-04-30,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-20,1
2018-05-21,1
2018-05-22,1
2018-05-27,1
2018-06-17,1
2018-06-19,1
2018-06-26,1
2018-07-01,1
2018-07-02,1
2018-07-03,1
2018-07-08,0
2018-07-09,1
2018-07-15,1
2018-08-06,0
2018-08-12,0
2018-08-13,0
2018-08-14,0
2018-08-19,0
2018-08-21,0
2018-08-27,0
2018-09-02,1
2018-09-03,1
2018-09-09,0
2018-09-10,0
2018-09-11,0
2018-09-24,1
2018-09-25,1
2018-10-07,1
2018-10-09,1
2018-10-16,1
2018-10-21,1
2018-10-22,1
2018-10-28,1
2018-11-05,1
2018-11-13,1
2018-11-18,0
2018-11-27,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-10,0
2018-12-11,0
2018-12-17,0
2018-12-18,0
2018-12-23,0
2018-12-24,0
2018-12-30,0
2019-01-06,0
2019-01-07,0
2019-01-14,0
2019-01-15,0
2019-02-04,1
2019-02-10,1
2019-02-11,1
2019-02-12,1
2019-02-17,1
2019-02-18,1
2019-02-25,0
2019-03-04,1
2019-03-17,1
2019-04-07,0
2019-04-14,1
2019-04-15,1
2019-04-16,1
2019-04-28,1
2019-04-30,1
2019-05-06,1
2019-05-07,1
2019-05-12,0
2019-05-14,0
2019-05-19,0
2019-05-20,0
2019-06-03,0
2019-06-30,0
2019-07-02,0
2019-07-07,0
2019-07-09,0
2019-07-14,0
2019-07-15,0
2019-07-30,0
2019-08-05,0
2019-08-12,0
2019-08-13,0
2019-08-18,0
2019-08-25,0
2019-09-02,0
2019-09-03,0
2019-09-15,1
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-07,0
2019-10-08,1
2019-10-13,1
2019-10-14,1
2019-10-15,1
2019-10-20,1
2019-10-21,1
2019-10-22,1
2019-10-27,0
2019-10-29,0
2019-11-04,1
2019-11-10,1
2019-11-17,1
2019-11-18,1
2019-11-19,1
2019-11-24,1
2019-11-25,1
2019-11-26,1
2019-12-01,1
2019-12-02,1
2019-12-09,1
2019-12-10,1
2019-12-15,1
2019-12-16,1
2019-12-23,1
2019-12-24,1
2019-12-29,1
2019-12-30,1
2019-12-31,1
2020-01-05,1
2020-01-06,1
2020-01-07,1
2020-01-13,1
2020-01-14,1
2020-01-27,1
2020-01-28,1
2020-02-02,1
2020-02-09,1
2020-02-11,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-25,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-17,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-10,0
2020-05-11,0
2020-05-12,1
2020-05-17,1
2020-05-18,1
2020-05-19,1
2020-05-24,1
2020-05-25,1
2020-05-26,1
2020-05-31,1
2020-06-02,0
2020-06-07,1
2020-06-08,1
2020-06-09,1
2020-06-14,1
2020-06-15,1
2020-06-16,1
2020-06-21,1
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-05,1
2020-07-06,1
2020-07-07,1
2020-07-12,1
2020-07-13,1
2020-07-14,1
2020-07-19,1
2020-07-28,0
2020-08-03,1
2020-08-04,1
2020-08-09,1
2020-08-10,1
2020-08-11,1
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-24,1
2020-08-25,1
2020-08-30,1
2020-08-31,1
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-13,1
2020-09-15,1
2020-09-21,1
2020-09-27,1
2020-09-28,1
2020-09-29,1
2020-10-06,1
2020-10-12,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-02,1
2020-11-03,1
2020-11-09,1
2020-11-10,1
2020-11-16,1
2020-11-17,1
2020-11-30,0
2020-12-01,0
2020-12-06,1
2020-12-07,1
2020-12-08,1
2020-12-13,1
2020-12-14,1
2020-12-15,1
2020-12-22,0
2020-12-28,0
2020-12-29,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-22,0
2021-02-23,0
2021-02-28,0
2021-03-02,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-14,0
2021-03-23,1
2021-03-28,1
2021-03-29,1
2021-03-30,0
2021-04-06,1
2021-04-11,1
2021-04-12,1
2021-04-18,0
2021-04-19,1
2021-04-20,1
2021-04-25,0
2021-04-26,1
2021-04-27,1
2021-05-02,1
2021-05-03,1
2021-05-04,0
2021-05-09,1
2021-05-10,0
2021-05-11,0
2021-05-16,0
2021-05-18,0
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-20,0
2021-06-21,0
2021-06-22,0
2021-06-27,0
2021-06-28,0
2021-06-29,0
2021-07-04,0
2021-07-05,0
2021-07-06,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-18,1
2021-07-19,0
2021-07-20,0
2021-07-25,1
2021-07-26,0
